Nama orang,Pangkat,talent_cluster,indeks_kesehatan,nilai_Kompetensi,nilai_Behavior,absen_tertekan,absen_nyaman,absen_semangat,engagement_ucapan,engagement_tinggal,engagement_berjuang,performansi_individu
54,V,HIGH POTENTIAL,B1,1.34,3.51,0,2,190,5,7,7,#N/A
55,IV,POTENTIAL,B1,1.45,4.66,0,2,175,6,6,6,104.56
56,V,POTENTIAL,C,0.48,3.24,0,0,202,5.67,5,5.33,98.1
57,V,POTENTIAL,B1,0.82,3.26,1,0,190,3,6.67,6,99.9
58,V,POTENTIAL,B1,1.25,3.57,1,3,235,5.33,6.67,6.67,#N/A
59,III,POTENTIAL,C,1.36,4.46,0,1,179,7,7,7,96.96
60,IV,POTENTIAL,B2,0.9,4.41,0,0,200,6,5.33,6,#N/A
61,IV,VERY HIGH POTENTIAL,B2,1.14,4.09,1,1,221,6.67,7,6.33,97.27
62,III,POTENTIAL,B2,1.09,4.26,0,1,220,5.33,6.67,6.67,#N/A
63,IV,POTENTIAL,B3,0.4,3.31,0,1,140,7,5.67,6.67,98.83
64,V,POTENTIAL,B1,1.35,3.83,0,0,169,6.33,6.67,7,96.18
65,V,HIGH POTENTIAL,B1,1.41,3.05,1,6,182,6.67,5,7,#N/A
66,IV,POTENTIAL,B2,0.97,3.99,0,80,135,5,5,5,#N/A
67,IV,POTENTIAL,B2,0.98,3.9,0,11,125,6,5.67,6,98.26
68,III,POTENTIAL,C,1.13,4.21,3,4,221,5.33,6,6,101
69,IV,POTENTIAL,B3,0.9,2.69,0,1,0,5,5,5,98.42
70,V,POTENTIAL,B2,1.35,4.34,0,0,146,5.67,6.67,5.67,#N/A
71,IV,POTENTIAL,B3,1.31,3.88,53,0,172,5.67,6.67,7,#N/A
72,IV,POTENTIAL,B2,1.29,3.91,2,0,220,6.33,7,6.33,#N/A
73,IV,POTENTIAL,B2,1.28,4.21,1,1,191,6,6,6,#N/A
74,III,POTENTIAL,0,0.86,2.76,0,12,229,5,5.33,5.33,90.36
75,IV,POTENTIAL,0,0.92,3.87,#N/A,#N/A,#N/A,6.33,7,7,#N/A
76,III,POTENTIAL,B2,0.81,3.57,0,1,1,5,5,5.33,#N/A
77,II,POTENTIAL,0,1.04,4.66,#N/A,#N/A,#N/A,6,6.67,6,#N/A
78,III,POTENTIAL,B2,0.91,4.13,0,133,2,5.33,5,5.33,#N/A
79,IV,POTENTIAL,B3,1.02,3.98,0,0,220,5.67,7,6,#N/A
80,V,POTENTIAL,B2,1.52,3.48,0,0,175,7,7,7,#N/A
81,IV,HIGH POTENTIAL,B2,1.21,4.46,0,1,173,7,7,7,#N/A
82,IV,POTENTIAL,B3,0.78,3.63,0,1,199,5.33,5.67,5.67,#N/A
83,V,POTENTIAL,B3,0.72,3.93,0,44,207,6.33,7,7,#N/A
84,V,POTENTIAL,B1,1.09,3.83,4,12,175,3.67,3,3.67,#N/A
85,IV,POTENTIAL,B1,1.26,3.69,0,25,183,6,5.67,7,#N/A
86,V,VERY HIGH POTENTIAL,B2,1.44,3.76,0,1,229,7,7,7,99.16
87,IV,POTENTIAL,B1,1.02,3.11,0,1,166,4,5.67,5.33,103.1
88,V,POTENTIAL,B3,1.15,3.14,0,0,168,5.67,6.67,6.33,#N/A
89,IV,POTENTIAL,B3,1.15,3.74,1,2,184,6.33,7,6.67,#N/A
90,II,POTENTIAL,0,0.71,3.43,#N/A,#N/A,#N/A,5.33,6.33,6.67,#N/A
91,IV,POTENTIAL,C,1.08,4.06,1,6,176,5.33,6,5.33,97.79
92,III,POTENTIAL,B1,0.99,4.15,0,216,1,6.33,6,6,#N/A
93,IV,POTENTIAL,B2,1.27,3.97,5,10,214,6,7,5.33,#N/A
94,IV,POTENTIAL,B3,1.08,4.23,0,0,195,6.33,6.33,6,#N/A
95,IV,HIGH POTENTIAL,B1,1.04,4.05,55,132,1,5,5,5,#N/A
96,III,POTENTIAL,B3,1.18,4.24,0,7,208,5.67,6.33,6,#N/A
97,IV,POTENTIAL,C,1.12,3.75,0,192,2,4.67,7,5,#N/A
98,IV,POTENTIAL,C,1.27,4.31,2,24,150,7,7,7,#N/A
99,IV,POTENTIAL,B1,1.39,3.96,0,0,213,6.67,6.67,6.33,#N/A
100,V,POTENTIAL,B3,0.77,3.14,1,9,214,6,7,6.67,100.65
101,IV,POTENTIAL,B2,0.83,3.26,0,98,87,5,5,5.33,#N/A
102,IV,POTENTIAL,B2,1.26,4.16,1,178,29,7,7,6.67,103.05
103,V,POTENTIAL,B2,1.28,4.21,0,7,167,6.33,7,7,#N/A
104,IV,POTENTIAL,B3,0.81,3.84,15,23,149,5.33,6,5,100.09
105,V,POTENTIAL,B3,0.77,3.26,0,4,213,5.67,5.67,5.67,#N/A
106,III,POTENTIAL,B3,1.29,3.88,2,91,66,6,5.33,5.67,87.55
107,V,POTENTIAL,B2,1.08,3.89,6,0,176,5,7,5,#N/A
108,IV,VERY HIGH POTENTIAL,0,0.59,3.92,#N/A,#N/A,#N/A,5,4.33,5,#N/A
109,IV,POTENTIAL,C,1.07,3.66,0,2,169,6.33,7,7,96.96
110,IV,POTENTIAL,B2,1.16,3.75,0,0,131,6.33,7,6,#N/A
111,IV,POTENTIAL,B2,1.24,3.68,0,15,171,5,5,5,99.08
112,V,POTENTIAL,B3,1.37,3.84,0,83,109,6,6.67,5.67,#N/A
113,V,POTENTIAL,B3,1.14,3.16,0,1,227,7,7,7,97.01
114,V,POTENTIAL,B2,1.03,3.59,0,0,199,4,5.67,6,#N/A
115,IV,POTENTIAL,B2,0.59,3.2,0,1,177,5.67,6,5,#N/A
116,IV,POTENTIAL,B1,1.23,3.64,0,0,163,4.33,6.33,6,#N/A
117,IV,POTENTIAL,B1,1.11,3.58,1,1,103,7,7,7,98.81
118,IV,POTENTIAL,B3,1.22,3.68,0,5,236,5.33,5,5,#N/A
119,IV,POTENTIAL,B1,1.24,4.12,0,96,98,7,7,7,#N/A
120,IV,POTENTIAL,B3,1.16,4.01,0,10,193,5.67,6.67,6.67,#N/A
121,III,POTENTIAL,0,1.09,4.62,4,0,222,5.67,5.33,6,#N/A
122,IV,POTENTIAL,B3,0.89,3.71,1,1,172,5,6.67,7,#N/A
123,V,POTENTIAL,B3,0.98,3.58,0,69,2,7,7,7,#N/A
124,IV,POTENTIAL,C,1.26,3.62,0,3,221,6.67,6.33,6.33,#N/A
125,III,POTENTIAL,B1,0.99,4.21,2,3,195,6.67,7,7,98.34
126,IV,POTENTIAL,B1,0.48,3.53,0,1,166,6.33,7,7,#N/A
127,IV,POTENTIAL,B3,1.16,4.46,0,4,193,6.67,6.67,7,#N/A
128,IV,POTENTIAL,B2,1.45,3.64,0,0,197,5.67,7,7,97.07
129,III,POTENTIAL,B2,1.02,4.09,0,4,199,6.67,7,6.67,96.28
130,IV,POTENTIAL,B3,1.38,3.81,0,0,228,6,7,7,#N/A
131,IV,POTENTIAL,B1,1.47,4.37,0,1,181,6.33,7,6.67,99.04
132,V,POTENTIAL,B1,1.09,4.6,0,0,181,4.33,6,6.67,101.59
133,IV,POTENTIAL,B3,0.91,4.34,0,0,215,7,7,6.33,100.76
134,IV,POTENTIAL,B2,1.27,4.23,1,0,217,5,6,6,96.93
135,IV,POTENTIAL,B3,1.11,3.36,1,6,199,6,5.67,6,#N/A
136,V,POTENTIAL,B3,1.24,4.27,0,1,197,7,6.67,7,99.04
137,V,POTENTIAL,B1,0.95,3.71,0,1,199,6.33,6.67,6,#N/A
138,IV,POTENTIAL,B2,1.37,4.08,0,0,179,5,4.67,5,99.04
139,IV,POTENTIAL,B2,1.23,4.4,0,1,153,6.33,6,6,99.1
140,IV,POTENTIAL,B1,0.45,4,1,0,193,6.67,7,6.67,#N/A
141,IV,POTENTIAL,B3,1.4,4.16,0,0,172,5.33,5,5,#N/A
142,V,POTENTIAL,B2,1.21,3.98,1,0,220,6,6,6,#N/A
143,III,POTENTIAL,B3,0.74,4.09,0,1,201,6.33,6.67,6.67,#N/A
144,V,POTENTIAL,B3,1.23,4.16,0,1,189,6.67,7,6.67,#N/A
145,V,POTENTIAL,C,0.9,3.34,3,1,165,5.67,5,5,#N/A
146,IV,POTENTIAL,B3,1.02,3.66,0,2,191,5.67,5.33,5,#N/A
147,IV,POTENTIAL,B3,1.15,3.66,1,0,195,6,5.33,6,#N/A
148,IV,POTENTIAL,B2,1.34,4.04,0,0,230,7,7,7,#N/A
149,III,POTENTIAL,B2,1.19,4.48,0,0,210,6.67,7,7,97.79
150,IV,POTENTIAL,B2,1.13,3.66,1,0,200,7,7,7,#N/A
151,IV,POTENTIAL,B3,1.09,3.55,0,0,149,5,5.33,5,#N/A
152,IV,HIGH POTENTIAL,B2,0.64,3.55,1,0,95,7,7,7,#N/A
153,IV,POTENTIAL,B2,1.21,3.58,0,13,224,7,6.67,6.67,97.79
154,IV,POTENTIAL,B1,0.87,3.61,0,1,228,7,7,7,#N/A
155,IV,POTENTIAL,B3,1.24,3.78,0,0,169,4,7,5.33,#N/A
156,III,POTENTIAL,C,0.53,4.09,0,0,220,5,5.67,5,#N/A
157,IV,POTENTIAL,B2,0.94,3.71,0,1,217,6,7,6.33,96.18
158,III,POTENTIAL,B3,1.24,4.1,0,0,205,6.33,7,7,#N/A
159,IV,POTENTIAL,C,1.25,4.21,0,1,217,6.67,7,7,#N/A
160,IV,POTENTIAL,B2,1.04,3.39,0,6,167,6,6,6,#N/A
161,V,POTENTIAL,B2,1.12,3.17,1,0,222,5,5,5,#N/A
162,IV,POTENTIAL,B2,0.41,3.55,1,0,92,6.67,6.67,5.67,96.02
163,V,POTENTIAL,B2,1.14,3.49,0,128,32,6,5.33,5.33,#N/A
164,IV,POTENTIAL,B3,1.32,4.22,0,1,217,7,7,7,#N/A
165,IV,POTENTIAL,B2,1.24,3.9,0,152,25,6,7,6,105.72
166,V,POTENTIAL,B2,1.11,3.59,0,0,207,6.67,7,7,#N/A
167,IV,POTENTIAL,B3,1.05,3.38,0,2,193,5.33,6,5.67,97.69
168,III,POTENTIAL,B1,0.88,4.41,2,12,211,6,6,6,98.99
169,III,POTENTIAL,B1,1.24,4.38,0,0,45,7,6.67,6.33,#N/A
170,IV,POTENTIAL,B3,1.23,4.1,0,0,199,6,6,6,#N/A
171,IV,POTENTIAL,B3,0.89,3.28,1,1,170,6,6.67,7,97.88
172,III,POTENTIAL,C,0.92,4.07,0,0,193,7,6.33,6,97.85
173,IV,HIGH POTENTIAL,B1,0.93,3.77,0,0,179,6.67,7,7,#N/A
174,III,POTENTIAL,B3,1.23,4.3,0,0,7,5.33,5,6,97.69
175,II,POTENTIAL,B1,1.41,4.21,0,0,155,6.67,6.67,7,#N/A
176,III,POTENTIAL,C,1.26,4.12,0,27,152,6,6.33,5.67,97.07
177,IV,POTENTIAL,B2,1.25,4.28,0,12,153,6.67,7,7,#N/A
178,III,POTENTIAL,B2,1.26,4.5,0,178,34,5.33,5,5.33,#N/A
179,III,POTENTIAL,B1,1.35,3.57,1,0,77,5,4.33,5.33,#N/A
180,IV,POTENTIAL,B1,1.09,3.98,0,0,162,6.33,6.67,7,#N/A
181,IV,POTENTIAL,B2,1.33,4.29,0,4,188,6,7,7,96.48
182,III,POTENTIAL,0,0.84,3.39,0,0,30,7,7,7,#N/A
183,III,POTENTIAL,B2,1.09,4.59,0,0,217,7,7,7,100.43
184,II,POTENTIAL,B2,1.05,4.19,0,6,214,6,5.33,6,95.89
185,III,POTENTIAL,B3,1.04,3.81,0,0,2,5.33,5.67,5,#N/A
186,III,POTENTIAL,B2,0.89,3.69,0,178,0,7,7,7,104.61
187,III,POTENTIAL,B2,1.12,4.18,0,7,203,5.33,5,5,101.89
188,IV,POTENTIAL,C,1.16,3.23,0,19,213,5.67,5,5.33,#N/A
189,IV,HIGH POTENTIAL,B1,0.71,3.62,1,0,170,6.33,6.67,6.33,#N/A
190,IV,POTENTIAL,C,1.31,3.77,0,1,221,7,7,7,#N/A
191,III,POTENTIAL,B3,1.43,4.56,73,6,143,7,7,7,96.69
192,III,POTENTIAL,B2,1.33,3.88,0,126,67,6,6.67,6.33,98.34
193,III,POTENTIAL,B2,1.35,3.76,1,0,48,5.67,5,6,99.67
194,IV,POTENTIAL,C,0.99,3.65,0,4,14,4.67,3.67,4.33,#N/A
195,IV,POTENTIAL,B1,1.34,4.24,0,1,5,7,7,7,#N/A
196,III,POTENTIAL,B2,1.01,4.35,0,4,189,5.33,5.67,5.33,99.63
197,III,POTENTIAL,B2,1.24,4.45,0,1,179,5,5,5.67,96.43
198,III,POTENTIAL,B2,1.17,3.91,1,0,222,6,7,6.33,#N/A
199,III,POTENTIAL,B1,1.21,4.28,0,2,186,6,6,6,103.27
200,IV,POTENTIAL,B1,1.32,3.88,0,6,191,6,6,6.33,100.38
201,IV,POTENTIAL,B1,1.42,4.18,0,0,106,7,7,7,#N/A
202,III,POTENTIAL,B3,0.52,3.27,0,1,200,5.33,5.33,5,#N/A
203,IV,POTENTIAL,B2,0.86,3.26,2,172,2,6.67,6.33,7,#N/A
204,III,POTENTIAL,B1,1.22,4.47,0,0,194,7,6.67,7,#N/A
205,III,POTENTIAL,0,1.03,4.27,1,3,0,5,4.67,5,#N/A
206,III,POTENTIAL,B2,1.03,3.95,0,0,192,6,6.67,6,#N/A
207,III,POTENTIAL,B1,1.04,3.68,0,216,11,4.67,4.67,4.33,102
208,II,POTENTIAL,B3,1.02,4.08,0,23,169,6,6.67,6.67,105.77
209,IV,POTENTIAL,B3,1,3.43,0,119,9,5.67,6.33,6,106.37
210,III,POTENTIAL,B3,1.32,4.57,3,0,194,7,7,7,97.13
211,IV,POTENTIAL,B2,0.83,3.73,0,1,157,6.67,6.33,6.67,#N/A
212,IV,POTENTIAL,B3,1.27,4.15,0,3,54,5.33,5.33,7,#N/A
213,IV,HIGH POTENTIAL,B3,1.35,3.87,0,0,212,6,6,6,99.06
214,IV,POTENTIAL,B2,1.07,4.16,2,0,238,7,7,7,#N/A
215,III,POTENTIAL,B3,0.85,2.8,65,0,151,6,6,6,101.23
216,IV,POTENTIAL,B3,0.54,3.8,0,13,165,6.33,6.67,7,#N/A
217,III,POTENTIAL,B2,1.24,4.4,0,0,228,7,7,6.67,97.13
218,III,POTENTIAL,B2,0.03,2.62,0,1,1,6,6,6,99.05
219,III,POTENTIAL,B2,1.18,4.01,0,0,172,7,7,7,106.63
220,IV,POTENTIAL,B3,1.07,4.02,0,0,177,5.67,6,7,#N/A
221,IV,POTENTIAL,B1,0.95,3.61,1,4,158,6.33,6.67,6.33,#N/A
222,IV,POTENTIAL,C,0.98,3.94,0,5,212,5.67,6,5.33,#N/A
223,IV,POTENTIAL,B2,0.86,3.02,0,2,173,7,7,7,#N/A
224,IV,POTENTIAL,B1,1.38,4.03,1,1,230,5.67,5.67,5.33,#N/A
225,III,POTENTIAL,C,0.56,3.13,0,1,22,6,6,6,#N/A
226,III,POTENTIAL,C,1.23,4.41,65,116,8,5,6.67,6,#N/A
227,III,POTENTIAL,B3,0.6,4.54,0,95,49,7,7,7,102.12
228,IV,POTENTIAL,B2,1.11,3.87,0,7,187,7,7,7,98.31
229,IV,POTENTIAL,B1,1.02,4.21,0,1,160,6.67,7,6.33,#N/A
230,III,POTENTIAL,B1,1.08,3.77,0,206,1,6,6,6,106.44
231,III,POTENTIAL,B2,0.88,3.91,0,0,217,6,6.67,6,#N/A
232,III,POTENTIAL,C,1.15,4.22,1,0,59,7,7,7,98.1
233,IV,POTENTIAL,B1,1.08,3.74,2,219,2,7,6.33,6.67,#N/A
234,III,POTENTIAL,0,0.91,3.77,#N/A,#N/A,#N/A,6,6,6,#N/A
235,III,POTENTIAL,B2,0.98,4.04,0,5,201,5.33,7,6,99.26
236,III,POTENTIAL,0,0.53,3.66,0,2,113,5,6.33,6,#N/A
237,III,POTENTIAL,B3,1.01,3.63,0,1,185,5,6.33,6,#N/A
238,III,POTENTIAL,B3,0.79,3.27,0,1,192,6.33,7,7,99.73
239,III,HIGH POTENTIAL,B3,1.38,4.28,0,4,182,6.67,7,7,#N/A
240,II,POTENTIAL,0,0.92,4.39,0,6,191,5.67,6.67,6.67,#N/A
241,III,POTENTIAL,B2,1.12,4.04,1,0,190,5.33,6,5.33,#N/A
242,I,HIGH POTENTIAL,B1,1.33,4.2,0,2,14,6.67,7,7,#N/A
243,IV,POTENTIAL,B2,1.26,4.08,1,1,186,7,7,7,#N/A
244,IV,POTENTIAL,B3,0.99,3.26,0,0,184,7,7,7,#N/A
245,IV,POTENTIAL,B3,0.76,3.07,0,1,90,5.67,5,5,103.1
246,III,POTENTIAL,B2,0.78,3.94,0,4,189,6.67,7,6.33,102.6
247,II,POTENTIAL,0,0.88,3.89,0,0,55,7,7,7,#N/A
248,IV,POTENTIAL,B2,1.05,3.82,0,1,0,4.67,5.67,6,97.53
249,III,POTENTIAL,B3,0.97,3.22,0,2,1,6,6.67,6,103
250,III,POTENTIAL,C,0.85,3.65,0,59,143,5.33,6,5.33,#N/A
251,III,POTENTIAL,B3,1.29,4.31,1,0,151,7,6.33,7,97.01
252,III,POTENTIAL,B3,0.98,4.17,0,0,215,6.33,6.67,7,96.35
253,III,POTENTIAL,B2,0.41,3.47,0,0,2,5.67,5.33,5.67,#N/A
254,IV,POTENTIAL,B2,1.01,3.75,0,0,204,7,7,7,#N/A
255,III,POTENTIAL,B3,0.93,4.24,0,3,178,6,4.67,6.33,#N/A
256,IV,POTENTIAL,B2,1.27,4.12,0,0,145,6.33,7,7,#N/A
257,III,POTENTIAL,C,0.8,4.23,0,0,201,6,6.67,6,#N/A
258,IV,POTENTIAL,B2,1.37,4.42,0,4,194,6.67,6.67,6,#N/A
259,IV,POTENTIAL,B1,0.96,4.35,1,49,103,5,4.67,5,#N/A
260,III,POTENTIAL,B1,1.15,4.35,0,0,202,6.67,7,7,#N/A
261,III,POTENTIAL,B2,0.7,3.96,0,87,0,7,7,7,#N/A
262,IV,POTENTIAL,B1,0.97,4.14,0,158,22,7,7,7,#N/A
263,IV,HIGH POTENTIAL,B1,1.33,3.83,1,7,203,5.67,6.33,6,#N/A
264,III,POTENTIAL,B3,1.24,3.95,0,1,192,5.67,6,6,99.27
265,IV,POTENTIAL,C,1.23,3.64,0,0,170,5.67,6.67,7,99.27
266,V,POTENTIAL,C,1.14,3.7,0,24,178,5.33,5.67,5,#N/A
267,IV,POTENTIAL,C,1.2,3.63,0,5,151,5.67,5.33,5,99.27
268,IV,POTENTIAL,B3,0.78,3.48,0,3,164,5.67,6,6,#N/A
269,V,POTENTIAL,B3,0.86,3.67,0,20,197,7,5.67,5,#N/A
270,IV,POTENTIAL,B3,0.87,2.89,0,0,198,5.33,5,5,#N/A
271,IV,VERY HIGH POTENTIAL,B2,0.95,3.66,0,50,176,6.33,6.33,7,#N/A
272,IV,POTENTIAL,B2,1.16,3.75,0,7,178,6.33,7,6,#N/A
273,IV,POTENTIAL,B3,1.08,3.84,0,145,7,4.33,7,6,106.26
274,IV,POTENTIAL,B3,1.36,4.11,0,0,188,6.67,4.67,7,96.52
275,V,POTENTIAL,B3,1.28,3.41,0,2,192,6.33,7,7,#N/A
276,IV,POTENTIAL,B2,0.68,3.83,0,0,180,6,5.33,6,#N/A
277,IV,POTENTIAL,B2,0.85,3.67,0,1,147,7,7,7,102.75
278,V,POTENTIAL,B3,1.26,4.24,0,0,227,7,7,7,#N/A
279,V,POTENTIAL,B3,1.19,4.04,0,0,226,6,7,7,103.01
280,IV,POTENTIAL,B3,1.25,4.29,3,0,211,7,7,7,#N/A
281,IV,POTENTIAL,B2,1.31,4.03,1,0,205,5,5,5,97.27
282,IV,POTENTIAL,B2,1.09,4.02,0,50,157,5.67,5.67,5.33,103.27
283,IV,HIGH POTENTIAL,B2,1.31,3.94,0,173,9,6,6.67,6.33,103.25
284,IV,POTENTIAL,B1,1.13,3.09,0,0,165,6.33,7,7,#N/A
285,V,POTENTIAL,B3,1.1,3.73,4,0,157,4.33,5,5,#N/A
286,IV,POTENTIAL,C,1.07,3.07,0,95,74,5.33,6,5.33,#N/A
287,V,POTENTIAL,C,1.36,3.93,1,4,151,5,6.67,7,#N/A
288,V,POTENTIAL,B1,1.2,3.96,9,0,166,5,7,7,96.18
289,IV,POTENTIAL,B3,1.3,3.65,0,1,164,3.67,7,7,#N/A
290,IV,POTENTIAL,C,1.26,3.67,0,4,224,5.67,5.67,5,96.18
291,IV,POTENTIAL,B2,0.95,4.24,0,4,201,6,6,5.67,#N/A
292,V,POTENTIAL,B1,1.34,3.94,0,0,169,7,7,7,#N/A
293,IV,POTENTIAL,B2,1.2,4.28,16,0,184,6.67,7,7,98.16
294,V,POTENTIAL,C,0.97,3.89,0,1,225,5.67,6,6,#N/A
295,III,POTENTIAL,B2,1.02,3.73,0,3,155,7,7,7,103.71
296,IV,POTENTIAL,B2,1.13,4.12,1,3,143,6.33,7,6,#N/A
297,IV,POTENTIAL,B2,0.67,3.87,2,137,1,6.33,6,6,101.91
298,IV,POTENTIAL,B2,1.36,4.21,3,0,183,7,7,7,#N/A
299,V,POTENTIAL,B1,1.13,3.73,0,8,95,6,7,6.33,#N/A
300,V,POTENTIAL,B2,1.27,4,0,0,186,5.67,5.33,5,#N/A
301,IV,POTENTIAL,B2,1.35,4.38,0,3,212,5.33,5.33,5,101.12
302,IV,POTENTIAL,B2,1.3,3.82,4,58,134,5.33,4.67,5.33,#N/A
303,IV,POTENTIAL,B3,1.44,4.14,1,0,212,6,6,6.67,97.13
304,V,POTENTIAL,B3,1.47,3.24,0,1,198,6.67,7,7,#N/A
305,V,POTENTIAL,B3,1,3.28,0,2,184,6.33,7,7,99.04
306,III,POTENTIAL,B3,1.18,3.97,0,0,48,6.67,5.67,7,#N/A
307,IV,POTENTIAL,B3,1.43,4.13,0,4,174,6,7,7,#N/A
308,III,POTENTIAL,B1,0.41,3.29,0,3,158,6,6,6,103.71
309,IV,POTENTIAL,B2,1.24,3.74,0,1,177,6.67,6.67,6.67,104.12
310,IV,POTENTIAL,B2,0.25,3.61,0,4,178,6,7,6.33,102.75
311,IV,POTENTIAL,B1,1.31,3.36,0,0,193,6.67,6.67,7,96.18
312,IV,POTENTIAL,B2,1.17,3.85,0,1,202,6.33,7,5.67,#N/A
313,IV,POTENTIAL,B3,1.28,3.22,0,0,220,6.67,5.33,5,#N/A
314,V,POTENTIAL,B1,0.96,3.36,0,0,192,7,7,7,#N/A
315,III,POTENTIAL,C,1.07,4.24,0,141,2,6.33,5.67,6,#N/A
316,V,POTENTIAL,B2,1.05,3.01,0,215,4,5,5.33,5,97.01
317,IV,POTENTIAL,B3,0.87,4.07,0,2,222,6.33,7,7,#N/A
318,IV,POTENTIAL,B2,1.1,4.02,0,6,179,6.67,7,7,97.69
319,IV,POTENTIAL,B3,1.2,4.16,0,0,195,5.67,6.67,6.67,103.15
320,IV,POTENTIAL,0,1.44,4.74,8,0,161,6,7,6,#N/A
321,IV,POTENTIAL,B2,0.7,3.84,4,0,178,6,6,6,98.68
322,IV,POTENTIAL,C,0.95,3.74,2,0,182,7,6.67,7,#N/A
